geoid,name,pctrent30_23,pctowned30_23,class
"25005613700",6137,0.5593834995,0.2404540764,
"25005613800",6138,0.5213004484,0.1312741313,
"25005613901",6139.01,0.4982497083,0.4585858586,
"25005613902",6139.02,0.4743875278,0.360479798,
"25005614000",6140,0.518404908,0.362012987,
"25005614101",6141.01,0.5093167702,0.2243958573,
"25005614102",6141.02,0.5071942446,0.196104471,
"25005615100",6151,0.1091549296,0.2019083969,
"25005616100",6161,0,0.26,
"25005617101",6171.01,0.1558441558,0.1667715544,
"25005617102",6171.02,0.4226804124,0.2072289157,
"25005630101",6301.01,0.3353658537,0.3220640569,
"25005630102",6301.02,0.3869653768,0.2403776325,
"25005630201",6302.01,0.8181818182,0.1633535004,
"25005630202",6302.02,0.3705583756,0.1414141414,
"25005630301",6303.01,0.4489795918,0.1676891616,
"25005630302",6303.02,0.4722222222,0.1333333333,
"25005630400",6304,0.5388951522,0.2320169252,
"25005631101",6311.01,0.2571942446,0.3381057269,
"25005631102",6311.02,0.3474576271,0.2895095368,
"25005631200",6312,0.346,0.195164076,
"25005631300",6313,0.4005847953,0.203135651,
"25005631400",6314,0.4751525719,0.4197530864,
"25005631500",6315,0.5168539326,0.3284023669,
"25005631600",6316,0.6476426799,0.3008403361,
"25005631700",6317,0.8077994429,0.206364513,
"25005631800",6318,0.3700918964,0.2779156328,
"25005632100",6321,0.1577540107,0.2361477573,
"25005632200",6322,0.5705645161,0.3355530892,
"25005633100",6331,0.4401913876,0.3169620253,
"25005633200",6332,0.1990950226,0.2345844504,
"25005640100",6401,0.4375,0.3285990962,
"25005640201",6402.01,0.5501691094,0.1683673469,
"25005640202",6402.02,0.4992997199,0.2839248434,
"25005640300",6403,0.4155193992,0.3177366703,
"25005640400",6404,0.4228028504,0.2661737523,
"25005640500",6405,0.5465052284,0.4068692206,
"25005640600",6406,0.4391796322,0.3221083455,
"25005640700",6407,0.4657794677,0.2020547945,
"25005640800",6408,0.4769433465,0.2824207493,
"25005640901",6409.01,0.3893085415,0.4625407166,
"25005641000",6410,0.5217717718,0,
"25005641101",6411.01,0.6358087487,0.6129032258,
"25005641200",6412,0.5437645236,0.6626984127,
"25005641300",6413,0.5447845805,0.1529411765,
"25005641400",6414,0.6213151927,0.4359861592,
"25005641500",6415,0.4027055151,0.2087227414,
"25005641600",6416,0.5517970402,0.2582236842,
"25005641700",6417,0.3333333333,0.3302828619,
"25005641800",6418,0.4757834758,0.1762589928,
"25005641900",6419,0.6066897347,0.5903614458,
"25005642000",6420,0.4846538187,0.4591549296,
"25005642100",6421,0.3875570776,0.3596059113,
"25005642200",6422,0.5976863753,0.1882845188,
"25005642300",6423,0.4134078212,0.09893455099,
"25005642400",6424,0.5521023766,0.1777188329,
"25005642500",6425,0.4015594542,0.2164418754,
"25005644101",6441.01,0.1935483871,0.2098389203,
"25005644102",6441.02,0.6567567568,0.246133154,
"25005644200",6442,0.57960199,0.1798679868,
"25005645101",6451.01,0.6653992395,0.213027229,
"25005645102",6451.02,0.4735202492,0.1283749363,
"25005645103",6451.03,0.2987421384,0.3040439341,
"25005646101",6461.01,0.4495238095,0.2676505784,
"25005646103",6461.03,0.6419753086,0.2428435115,
"25005646104",6461.04,0.2340425532,0.1937557392,
"25005650101",6501.01,0.4637362637,0.3171830986,
"25005650102",6501.02,0.5301507538,0.3612956811,
"25005650201",6502.01,0.3513513514,0.2629310345,
"25005650202",6502.02,0.2215568862,0.4185022026,
"25005650300",6503,0.3417508418,0.3171355499,
"25005650400",6504,0.5387355298,0.5082568807,
"25005650500",6505,0.3874439462,0.4380664653,
"25005650600",6506,0.6737254902,0.6479400749,
"25005650700",6507,0.5959302326,0.5346534653,
"25005650800",6508,0.5238450075,0.619760479,
"25005650900",6509,0.5929526124,0.3062015504,
"25005651001",6510.01,0.3952879581,0.2286432161,
"25005651002",6510.02,0.3226256983,0.193960511,
"25005651100",6511,0.4988047809,0.5198863636,
"25005651200",6512,0.421686747,0.3465346535,
"25005651300",6513,0.5916030534,0.3033707865,
"25005651400",6514,0.3737142857,0.4775510204,
"25005651500",6515,0.4028436019,0.1912798875,
"25005651600",6516,0.4185185185,0.4047919294,
"25005651700",6517,0.495545657,0.4197530864,
"25005651800",6518,0.5026099925,0,
"25005651900",6519,0.664652568,0.3910891089,
"25005652000",6520,0.4694835681,0.3118556701,
"25005652100",6521,0.4708249497,0.4011065007,
"25005652200",6522,0.4555555556,0.2773333333,
"25005652300",6523,0.4972253052,0.5735294118,
"25005652400",6524,0.4520166898,0.3871733967,
"25005652500",6525,0.3402705515,0.7165354331,
"25005652600",6526,0.6406429392,0.590443686,
"25005652700",6527,0.4327628362,0.5726744186,
"25005652800",6528,0.2820037106,0.3099173554,
"25005653101",6531.01,0.545990566,0.2462121212,
"25005653102",6531.02,0.3581560284,0.1214343928,
"25005653203",6532.03,0.6007462687,0.3424836601,
"25005653204",6532.04,0.3121693122,0.3597194389,
"25005653301",6533.01,0.3455098935,0.2599369085,
"25005653304",6533.04,0.404494382,0.2697751873,
"25005654100",6541,0.5249169435,0.1820857864,
"25005654200",6542,0.5979899497,0.2979591837,
"25005655100",6551,0.3465346535,0.2526464361,
"25005655200",6552,0.5107102593,0.263509006,
"25005655300",6553,0.4627329193,0.3043956044,
"25005655400",6554,0.4087301587,0.2416107383,
"25005985500",9855,0.4716981132,0.200845666,
"25005985600",9856,0.6113744076,0.2428884026,
"25005990000",9900,,,
"25007200100",2001,0.3286713287,0.4158838599,
"25007200200",2002,0.5685618729,0.278308322,
"25007200300",2003,0.1314285714,0.5372340426,
"25007200400",2004,0.2745098039,0.3696498054,
"25007990000",9900,,,
"25009201100",2011,0.5708661417,0.4251851852,
"25009202101",2021.01,0.6184210526,0.3348554033,
"25009202103",2021.03,0.8805970149,0.3141153082,
"25009202104",2021.04,0.5564598169,0.4174950298,
"25009202200",2022,0.2615384615,0.2796992481,
"25009203100",2031,0.3607594937,0.2036180059,
"25009203200",2032,0.398255814,0.2546542553,
